คำที่ลูกค้าพิมพ์,ชื่อมาตรฐานในระบบ,หน่วยมาตรฐาน,,ชื่อสินค้าอัพเดท 05/06/69
"พริกขี้หนูแดงไร้ก้าน, พริกขี้หนูแดงเด็ด, พริกขี้หนูแดง ไร้ก้าน, red bird chilli no stem",พริกขี้หนูแดง ไร้ก้าน | RED BIRD CHILLI NO STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกขี้หนูแดง ไร้ก้าน | RED BIRD CHILLI NO STEM
"พริกขี้หนูสวน, garden bird chilli",พริกขี้หนูสวน | GARDEN BIRD CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกขี้หนูสวน | GARDEN BIRD CHILLI
"พริกจินดาเขียว, พริกจีนดาเขียว, green jinda chilli, green jinda",พริกจินดาเขียว | GREEN JINDA CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกจินดาเขียว | GREEN JINDA CHILLI
"พริกจินดาเขียวเด็ด, green jinda chilli no stem, green jinda no stem",พริกจินดาเขียว ไร้ก้าน | GREEN JINDA CHILLI NO STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกจินดาเขียว ไร้ก้าน | GREEN JINDA CHILLI NO STEM
"พริกจินดาแดงเด็ด, แดงเด็ด, แดงไร้ก้าน, พริก, พริกแดงเด็ดก้าน, พริกแดงเด็ด, พริกจินดาแดงไร้ก้าน, red jinda chilli no stem, red jinda no stem, jd, พก",พริกจินดาแดง ไร้ก้าน | RED JINDA CHILLI NO STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกจินดาแดง ไร้ก้าน | RED JINDA CHILLI NO STEM
"พริกจินดาแดง, red jinda chilli, red jinda",พริกจินดาแดง  | RED JINDA CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกจินดาแดง  | RED JINDA CHILLI
"พริกชี้ฟ้าเขียว, green spur chilli",พริกชี้ฟ้าเขียว | GREEN SPUR CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกชี้ฟ้าเขียว | GREEN SPUR CHILLI
"พริกชี้ฟ้าเหลือง, yellow spur chilli",พริกชี้ฟ้าเหลือง | YELLOW SPUR CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกชี้ฟ้าเหลือง | YELLOW SPUR CHILLI
"พริกชี้ฟ้าแดง, ชี้ฟ้าแดง, red spur chilli",พริกชี้ฟ้าแดง | RED SPUR CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกชี้ฟ้าแดง | RED SPUR CHILLI
"พริกยักษ์เขียว, พริกยักเขียว, green bell pepper",พริกยักษ์ เขียว | GREEN BELL PEPPER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกยักษ์ เขียว | GREEN BELL PEPPER
"พริกยักษ์เหลือง, พริกยักเหลือง, yellow bell pepper",พริกยักษ์ เหลือง | YELLOW BELL PEPPER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกยักษ์ เหลือง | YELLOW BELL PEPPER
"พริกยักษ์แดง, พริกยักแดง, red bell pepper",พริกยักษ์ แดง | RED BELL PEPPER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกยักษ์ แดง | RED BELL PEPPER
"พริกหยวกเขียว, หยวกเขียว",พริกหยวกเขียว | GREEN ANAHEIM CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกหยวกเขียว | GREEN ANAHEIM CHILLI
"พริกแห้ง, พริกจินดาแดงแห้ง, dried chilli",พริกแห้ง | DRIED CHILLI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกแห้ง | DRIED CHILLI
"พริกไทยดำเม็ด, black pepper",พริกไทยดำเม็ด | BLACK PEPPERCORNS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกไทยดำเม็ด | BLACK PEPPERCORNS
"พริกไทยอ่อน, young green pepper",พริกไทยอ่อน | YOUNG GREEN PEPPERCORNS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกไทยอ่อน | YOUNG GREEN PEPPERCORNS
"พริกหนุ่ม, young green chilli",พริกหนุ่ม |  YOUNG GREEN CHIL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกหนุ่ม |  YOUNG GREEN CHIL
"พริกจาราปิโญ่, พริกจารปีโน่, พริกจิราปิโญ่, jalapeno chilli",พริกจาราปิโญ่ | JALAPENO CHIL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,พริกจาราปิโญ่ | JALAPENO CHIL
"โรสแมรี่, Rosemarry",โรสแมรี | ROSEMARY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,โรสแมรี | ROSEMARY
"สาระแหน่, สะระแหน่, ใบมินต์, ใบมิ้น, สาระแหน, ใบสาระแน่, mint",สะระแหน่ | MINT,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,สะระแหน่ | MINT
"เสจ, sage",เสจ | SAGE,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เสจ | SAGE
"ไทม์, ใบทาม, ใบไทม์, thyme",ไทม์ | THYME,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ไทม์ | THYME
"หอมแดงแขก (ใหญ่), หอมแขกใหญ่, หอมแดงแขก, หอมแขก, red onion",หอมแดงแขก (ใหญ่) | BIG SHALLOT / RED ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมแดงแขก (ใหญ่) | BIG SHALLOT / RED ONION
,หอมแดงแขก | SHALLOT / RED ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมแดงแขก | SHALLOT / RED ONION
"หอมแดงแขก ปอก (ใหญ่), หอมแดงแขก (ใหญ่) ปอก, หอมแดงแขกปอกใหญ่, หอมแดงแขกใหญ่ปอก, หอมแขกปอกเปลือก,หอมแดงแขกปอก,หอมแขกปอก, peeled red onion",หอมแดงแขก ปอก (ใหญ่) | PEELED BIG SHALLOT / RED ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมแดงแขก ปอก (ใหญ่) | BIG SHALLOT / RED ONION
,หอมแดงแขก ปอก | SHALLOT / RED ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมแดงแขก ปอก | SHALLOT / RED ONION
"หอมแดงไทย, thai red onion",หอมแดงไทย | THAI RED ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมแดงไทย | THAI RED ONION
"หอมซุป, onion soup",หอมซุป | ONION SOUP,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมซุป | ONION SOUP
"หอมหัวใหญ่, หอมใหญ่, หัวใหญ่, onion",หอมหัวใหญ่ | ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมหัวใหญ่ | ONION
"หอมหัวใหญ่ ปอก, หอมหัวใหญ่ ปลอก, หอมใหญ่ปอก, หอมหัวใหญ่ปอกเปลือก, peeled onion",หอมหัวใหญ่ ปลอก | PEELED ONION,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมหัวใหญ่ ปลอก | BIG ONION
"กระเจี๊ยบ, กระเจี๊ยบเขียว, okra",กระเจี๊ยบเขียว | OKRA,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระเจี๊ยบเขียว | OKRA
"ข้าวโพดหวาน, corn, sweet corn",ข้าวโพดหวาน | SWEET CORN,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวโพดหวาน | SWEET CORN
"ข้าวโพดหวาน ปอก,ข้าวโพดหวานปลอก, peeled sweet corn, peeled corn",ข้าวโพดหวาน ปลอก | SWEET CORN (RT),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวโพดหวาน ปลอก | SWEET CORN (RT)
,ข้าวโพดอ่อน | BABY CORN ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวโพดอ่อน | BABY CORN (WITH HUSK)
ข้าวโพดอ่อน ติดหมวก,ข้าวโพดอ่อน ติดหมวก | BABY CORN (WITH HUSK),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวโพดอ่อน ติดหมวก | BABY CORN
"ข้าวโพดอ่อนปอก, ข้าวโพดอ่อน ปอก, ข้าวโพดอ่อนปลอก, ข้าวโพดอ่อนปอก, ข้าวโพดอ่อน ปลอก, ข้าวโพดอ่อน, baby corn",ข้าวโพดอ่อน ปลอก | BABY CORN (RT),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวโพดอ่อน ปลอก | BABY CORN (RT)
"แครอท, carrot",แครอท | CARROTS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,แครอท | CARROTS
"เบบี้แครอท, Baby แครอท, baby carrot",เบบี้แครอท | BABY CARROTS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เบบี้แครอท | BABY CARROTS
"บีทรูท, beetroot",บีทรูท | BEETROOT,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,บีทรูท | BEETROOT
"มันฝรั่งเอ, มันฝรั่ง A, มันเอ, มันฝรั่ง, potato A, potato a",มันฝรั่ง A | POTATO A,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มันฝรั่ง A | POTATO A
"มันฝรั่งบี, มันฝรั่ง B, มันบี, potato B, potato b",มันฝรั่ง B | POTATO B,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มันฝรั่ง B | POTATO B
"มันฝรั่งโอ, มันฝรั่ง O, มันโอ, มันนอก, มันจัมโบ้, มันใหญ่, มันฝรั่งใหญ่, potato O, potato o",มันฝรั่ง O | POTATO O,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มันฝรั่ง O | POTATO O
"มันซุป, เบบี้มันฝรั่ง, มันฝรั่งเบบี้, Baby potato, เบบี้โปเตโต้, small potato",มันซุป (เบบี้มันฝรั่ง) | BABY POTATOES,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มันซุป (เบบี้มันฝรั่ง) | BABY POTATOES
"แรดิชิโอ, เรดิชิโอ, แรดิชชิโอ, radicchio",แรดิชิโอ | RADICCHIO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,แรดิชิโอ | RADICCHIO
"ปวยเล้ง, ป๋วยเล้ง, spinach",ปวยเล้ง Spinach,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ปวยเล้ง Spinach
"ถั่วงอก, bean sprout",ถั่วงอก | Bean Sprout,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ถั่วงอก | Bean Sprout
"ถั่วลันเตาหวาน, เตาหวาน, ลันเตาหวาน, sweet peas",ถั่วลันเตาหวาน | Sweet Peas,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ถั่วลันเตาหวาน | Sweet Peas
"ถั่วลันเตาแบน, เตาแบน, flat green peas",ถั่วลันเตาแบน | FLAT GREEN PEAS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ถั่วลันเตาแบน | FLAT GREEN PEAS
"ถั่วแขก, green beans",ถั่วแขก | GREEN BEANS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ถั่วแขก | GREEN BEANS
"เรดิช, แรดิช, radish",เรดิช | RADISH,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เรดิช | RADISH
"ถั่วฝักยาว, yardlong bean",ถั่วฝักยาว | Yardlong Bean,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ถั่วฝักยาว | Yardlong Bean
"รากผักชี, coriander root",รากผักชี | CORIANDER ROOT,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,รากผักชี | CORIANDER ROOT
"หัวไชเท้า, white radish",หัวไชเท้า | WHITE RADISH,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หัวไชเท้า | WHITE RADISH
"หน่อไม้ฝรั่งเขียว เอ, หน่อไม้ฝรั่งเอ, หน่อไม้ฝรั่งเกรดเอ, asparagus A",หน่อไม้ฝรั่งเขียว เอ | GREEN ASPARAGUS A,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หน่อไม้ฝรั่งเขียว เอ | GREEN ASPARAGUS A
"หน่อไม้ฝรั่งเขียว บี, หน่อไม้ฝรั่งบี, หน่อไม้ฝรั่งเกรดบี, asparagus B",หน่อไม้ฝรั่งเขียว บี | GREEN ASPARAGUS B,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หน่อไม้ฝรั่งเขียว บี | GREEN ASPARAGUS B
"หน่อไม้ฝรั่งเขียว จัมโบ้, หน่อไม้ฝรั่งจัมโบ้, หน่อไม่ฝรั่งจัมโบ, asparagus jumbo, jumbo asparagus",หน่อไม้ฝรั่งเขียว จัมโบ้ | GREEN ASPARAGUS JUMBO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หน่อไม้ฝรั่งเขียว จัมโบ้ | GREEN ASPARAGUS JUMBO
"ซูกินี, ซูกินี่, zucchini",ซูกินี | ZUCCHINI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ซูกินี | ZUCCHINI
"แตงกวา, cucumber ",แตงกวา | CUCUMBER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,แตงกวา | CUCUMBER
"แตงกวาญี่ปุ่น, แตงกวาญีปุ่น, japanese cucumber",แตงกวาญี่ปุ่น | JAPANESE CUCUMBER,"กก, กรัม, Kg, g., kg, ลูก, กิโล, กิโลกรัม, โล",,แตงกวาญี่ปุ่น | JAPANESE CUCUMBER
"แตงร้าน, big cucumber",แตงร้าน | LONG CUCUMBER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,แตงร้าน | LONG CUCUMBER
"ฟักทองไทย, pumpkin",ฟักทองไทย | THAI PUMPKIN,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟักทองไทย | THAI PUMPKIN
"ฟักทองญี่ปุ่น, japanese pumpkin",ฟักทองญี่ปุ่น | JAPANESE PUMPKIN,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟักทองญี่ปุ่น | JAPANESE PUMPKIN
"ฟักทองญี่ปุ่น มินิ, ฟักทองญี่ปุ่นเล็ก, mini japanese pumpkin",ฟักทองญี่ปุ่น มินิ | JAPANESE PUMPKIN MINI,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟักทองญี่ปุ่น มินิ | JAPANESE PUMPKIN MINI
"ฟักทองบัตเตอร์นัต, ฟักทองบัตเตอร์นัท, butternut, butternut squash",ฟักทองบัตเตอร์นัต | BUTTERNUT SQUASH,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟักทองบัตเตอร์นัต | BUTTERNUT SQUASH
บวบเหลี่ยมอ่อน,บวบเหลี่ยมอ่อน |  ANGLED GOURD,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,บวบเหลี่ยมอ่อน |  ANGLED GOURD
"มะเขือเทศเชอร์รี่กลม, มะเขือเทศเชอรี่กลม, cherry round tomato",มะเขือเทศเชอร์รี่กลม | CHERRY TOMATO ROUND,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศเชอร์รี่กลม | CHERRY TOMATO ROUND
"มะเขือเทศเนื้อ, มะเขือเทศกินสด, beef tomato",มะเขือเทศเนื้อ | BEEF TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศเนื้อ | BEEF TOMATO
"มะเขือเทศท้อ, tomato ท้อ, ท้อ, plum tomato",มะเขือเทศท้อ | PLUM TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศท้อ | PLUM TOMATO
"มะเขือเทศติดเถา, vine tomato, ติดเถา, vine",มะเขือเทศติดเถา | VINE TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศติดเถา | VINE TOMATO
"มะเขือเทศราชินี แดง, มะเขือเทศราชินี, cherry tomato",มะเขือเทศราชินี แดง| CHERRY TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศราชินี แดง| CHERRY TOMATO
"มะเขือเทศสีดา, srida pink egg tomato",มะเขือเทศสีดา | SRIDA PINK EGG TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศสีดา | SRIDA PINK EGG TOMATO
"มะเขือเปาะ, มะเขือเปราะ, green brinjal",มะเขือเปาะ | GREEN BRINJAL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเปาะ | GREEN BRINJAL
"มะเขือพวง, turkey berry",มะเขือพวง | TURKEY BERRY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือพวง | TURKEY BERRY
"มะเขือพวงเด็ด, turkey berry no stem",มะเขือพวง เด็ด | TURKEY BERRY NO STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือพวง เด็ด | TURKEY BERRY NO STEM
"มะเขือม่วงก้านเขียว, purple eggplant green stem",มะเขือม่วงก้านเขียว | PURPLE EGGPLANT GREEN STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือม่วงก้านเขียว | PURPLE EGGPLANT GREEN STEM
"มะเขือยาวเขียว, long green eggplant",มะเขือยาวเขียว | LONG GREEN EGGPLANT,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือยาวเขียว | LONG GREEN EGGPLANT
"มะเขือยาวม่วง, long purple eggplant",มะเขือยาวม่วง | LONG PURPLE EGGPLANT,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือยาวม่วง | LONG PURPLE EGGPLANT
"มะระขี้นก, bitter cucumber ",มะระขี้นก | BITTER CUCUMBER,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะระขี้นก | BITTER CUCUMBER
"มะระจีน, bitter melon",มะระจีน | BITTER MELON,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะระจีน | BITTER MELON
"เลมอน, เลม่อน, lemon kg, ",เลมอน | LEMON,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เลมอน | LEMON
,เลมอน | LEMON BOX (15KG.),,,เลมอน | LEMON BOX (15KG.)
"มะกรูด, มะกูด",มะกรูด | KAFFIR LIME,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะกรูด | KAFFIR LIME
"ใบมะกรูด, ใบมะกูด",ใบมะกรูด | KAFFIR LIME LEAVES,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ใบมะกรูด | KAFFIR LIME LEAVES
,มะนาว | LIME เบอร์ #6,,,มะนาว | LIME เบอร์ #6
"มะนาว, มะนาวแป้น, มะนาวเขียว, มะนาวลูก, lime, green lime",มะนาว | LIME เบอร์ #5,"กก, กรัม, Kg, g., ลูก, kg, pcs, กิโล, กิโลกรัม, โล",,มะนาว | LIME เบอร์ #5
"มะนาวไร้เมล็ด, มะนาวไร้เม็ด, key lime, seedless lime",มะนาวไร้เมล็ด | KEY LIME,"กก, กรัม, Kg, g., ลูก, kg, pcs, กิโล, กิโลกรัม, โล",,มะนาวไร้เมล็ด | KEY LIME
"กล้วยไข่, lady finger banana",กล้วยไข่ | LADY FINGER BANANA,"หวี, กก, กรัม, Kg, g., ลูก, kg, กิโล, กิโลกรัม, โล",,กล้วยไข่ | LADY FINGER BANANA
"กล้วยหอม, cavendish banana",กล้วยหอม | CAVENDISH BANANA,"หวี, กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,กล้วยหอม | CAVENDISH BANANA
"กีวี่, กีวี่เขียว, กีวี, กีวีเขียว, kiwi, green kiwi",กีวี่เขียว | GREEN KIWI ,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,กีวี่เขียว | GREEN KIWI 
"แก้วมังกรแดง, dragon fruit red, red dragon fruit",แก้วมังกรแดง | DRAGON FRUIT RED,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แก้วมังกรแดง | DRAGON FRUIT RED
"แก้วมังกรขาว, whitel dragon fruit, dragon fruit white",แก้วมังกรขาว | DRAGON FRUIT WHITE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แก้วมังกรขาว | DRAGON FRUIT WHITE
"แคนตาลูป, แคนตาลูป ส้ม, แคนตาลูบ, แคนตาลูบ ส้ม, แคนตาลูปส้ม, orange cantaloupe",แคนตาลูป ส้ม | CANTALOUPE ORANGE FLESH,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แคนตาลูป ส้ม | CANTALOUPE ORANGE FLESH
"เมลอนเขียว, เมล่อนเขียว,เมล่อน, green melon",เมล่อน เขียว | MELON GREEN FLESH ,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,เมล่อน เขียว | MELON GREEN FLESH 
"เมลอนทอง, เมล่อนทอง, gold melon",เมล่อน ทอง | MELON GOLD FLESH,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,เมล่อน ทอง | MELON GOLD FLESH
"เมลอนส้ม, เมล่อนส้ม, เมล่อน ส้ม, orange melon",เมล่อน ส้ม | MELON ORANGE FLESH,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,เมล่อน ส้ม | MELON ORANGE FLESH
"ทับทิม, pomegranate",ทับทิม | POMEGRANATE,ลูก,,ทับทิม | POMEGRANATE
,บลูเบอร์รี่ | BLUEBERRY Tray 12 Pack,,,บลูเบอร์รี่ | BLUEBERRY Tray 12 Pack
"บลูเบอร์รี่, บูเบอรี่, บลูเบอร์รี, Blueberry, blueberry",บลูเบอร์รี่ | BLUEBERRY Punnet,"แพ็ค, pack",,บลูเบอร์รี่ | BLUEBERRY Punnet
"มะม่วงน้ำดอกไม้, nam dok mai mango, nam dok mai",มะม่วงน้ำดอกไม้ | NAM DOK MAI MANGO,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,มะม่วงน้ำดอกไม้ | NAM DOK MAI MANGO
"มะม่วงน้ำดอกไม้ดิบ, green nam dok mai mango, green nam dok mai",มะม่วงน้ำดอกไม้ ดิบ | NAM DOK MAI MANGO,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,มะม่วงน้ำดอกไม้ ดิบ | NAM DOK MAI MANGO
"มะละกอดิบ, papaya, green papaya",มะละกอดิบ | GREEN PAPAYA,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,มะละกอดิบ | PAPAYA
"มะละกอสุก, ripe papaya, ripped papaya",มะละกอสุก | RIPPED PAPAYA ,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,มะละกอสุก | PAPAYA RIPPED
"มะละกอฮอแลน, มะละกอฮอลแลนด์, มะละกอฮอร์แลนด์, มะละกอฮอลแลน, holland papaya",มะละกอฮอลแลนด์ | HOLLAND PAPAYA,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,มะละกอฮอลแลนด์ | HOLLAND PAPAYA
,ราสเบอร์รี่ | RASPBERRY Tray,,,ราสเบอร์รี่ | RASPBERRY Tray
"ราสเบอร์รี่, ราสเบอรี่, raspberry",ราสเบอร์รี่ | RASPBERRY Punnet 120g,แพ็ค,,ราสเบอร์รี่ | RASPBERRY Punnet 120g
,สตอเบอร์รี่ | STRAWBERRY Tray Pack 4     1.3 Kg,,,สตอเบอร์รี่ | STRAWBERRY Tray Pack 4     1.3 Kg
,สตอเบอร์รี่ | STRAWBERRY Tray Pack 8.    2 Kg,,,สตอเบอร์รี่ | STRAWBERRY Tray Pack 8.    2 Kg
,สตอเบอร์รี่ | STRAWBERRY Punnet Pack 4 324 g,,,สตอเบอร์รี่ | STRAWBERRY Punnet Pack 4 324 g
"สตอเบอร์รี่, สตอเบอรี",สตอเบอร์รี่ | STRAWBERRY Punnet Pack 8 250 g,แพ็ค,,สตอเบอร์รี่ | STRAWBERRY Punnet Pack 8 250 g
"ส้มเขียวหวาน, sweet green orange, sweet green mandarin",ส้มเขียวหวาน | SWEET GREEN MANDARIN,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มเขียวหวาน | SWEET GREEN MANDARINE
"ส้มแมนดาริน, mandarin orange",ส้มแมนดาริน | MANDARIN ORANGE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มแมนดาริน | MANDARIN ORANGE
"ส้มซันคิส, ส้มซันควิส, สัมซํนควิส, sunkist",ส้มซันคิส | SUNKIST,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มซันคิส | SUNKIST
"ส้มนาเวล, สัมนาเวล, navel",ส้มนาเวล | Navel,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มนาเวล | Navel
"ส้มสายน้ำผึ้ง (คั่นน้ำ), ส้มสายน้ำผึ้ง (คั้นน้ำ), ส้มสายน้ำผึ้ง คั้นน้ำ, ส้มสายน้ำผึ้ง คั่นน้ำ",ส้มสายน้ำผึ้ง (คั้นน้ำ) | HONEY MANDARIN ORANGE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มสายน้ำผึ้ง (คั้นน้ำ) | HONEY MANDARINE ORANGE
"ส้มสายน้ำผึ้ง, ส้มสายน้ำผึ้ง, ส้มน้ำผึ้ง, honey mandarin",ส้มสายน้ำผึ้ง | HONEY MANDARIN,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มสายน้ำผึ้ง | HONEY MANDARINE
"สับปะรด, สัปปะรด, สัปะรด, pineapple",สับปะรด | PINEAPPLE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,สับปะรด | PINEAPPLE
"สับปะรดภูเก็ต, สัปปะรดภูเก็ต, สัปะรดภูเก็ต, phuket pineapple",สับปะรดภูเก็ต | PHUKET PINEAPPLE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,สับปะรดภูเก็ต | PHUKET PINEAPPLE
"สับปะรดภูแล, สัปปะรดภูแล, สัปะรดภูแล, phulae pineapple",สับปะรดภูแล | BABY PINEAPPLE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,สับปะรดภูแล | BABY PINEAPPLE
"สับปะรดศรีราชา, สัปปะรดศรีราชา, สัปะรดศรีราชา, sriracha pineapple ",สับปะรดศรีราชา | SRIRACHA PINEAPPLE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,สับปะรดศรีราชา | SRIRACHA PINEAPPLE
